cod_marca;cod_modelo;nome_modelo;ultimo_ano
1;1;Integra GS 1.8;1992
1;2;Legend 3.2/3.5;1998
1;3;NSX 3.0;1995
2;4;MARRUÁ 2.8 12V 132cv TDI Diesel;2007
2;4564;MARRUÁ AM 100 2.8  CS TDI Diesel;2015
2;4563;MARRUÁ AM 100 2.8 CD TDI Diesel;2015
2;4566;MARRUÁ AM 150 2.8  CS TDI Diesel;2015
2;4565;MARRUÁ AM 150 2.8 CD TDI Diesel;2015
2;4569;MARRUÁ AM 50 2.8 140cv TDI Diesel;2011
3;5;145 Elegant 1.7/1.8 16V;1999
3;6;145 Elegant 2.0 16V;1998
3;7;145 Quadrifoglio 2.0;1999
3;8;145 QV;1998
3;9;147 2.0 16V 148cv 4p Semi-Aut.;2005
3;10;155;1997
3;11;155 Super;1997
3;12;156 2.5 V6 24V 190cv 4p Aut.;2003
3;13;156 Sport Wagon 2.0 16V;2002
3;14;156 Sport Wagon 2.5 V6 24V 4p Aut.;2004
3;15;156 TS/Sport/Elegant 2.0 16V;2002
3;16;164 3.0 V6;1996
3;17;164 Super V6 24V;1996
3;18;166 3.0 V6 24V;2003
3;19;2300 TI/TI-4;1986
3;20;Spider 2.0/3.0;1997
4;21;Hummer Hard-Top 6.5 4x4 Diesel TB;2000
4;22;Hummer Open-Top 6.5 4x4 Diesel TB;2000
4;23;Hummer Wagon 6.5 4x4 Diesel TB;2000
5;24;AM-825 Luxo 4.0 Diesel;1998
5;25;AM-825 Super Luxo 4.0 Diesel;1998
5;26;Hi-Topic SLX/SDX/DLX Full Diesel;1998
5;27;Hi-Topic STD Diesel;1998
5;28;Hi-Topic Van 2.7 Diesel (furgão);1997
5;29;Jipe Rocsta GT 4x4 2.2 Diesel;1995
5;30;Topic Carga 2.7 Diesel (furgão);1999
5;31;Topic Luxo Diesel;1999
5;32;Topic Super Luxo Diesel;1999
5;33;Towner Coach Full;1998
5;34;Towner Furgão;1999
5;35;Towner Glass Van;1998
5;36;Towner Luxo;1999
5;37;Towner Multiuso 5p;1999
5;38;Towner Panel Van;1998
5;39;Towner Pick-Up;1999
5;40;Towner SDX / DLX/ STD;1998
5;41;Towner Super Luxo;1999
5;42;Towner Truck;1998
189;6906;DB9 Coupe 6.0 V12 510cv;2016
189;6340;DB9 Volante 6.0 V12 470cv;2011
189;6341;Rapide 6.0 V12 477cv;2012
189;6907;Rapide S 6.0 V12 550cv;2016
189;6909;Vanquish V12 6.0 565cv;2016
189;6342;Vantage 6.0 V12 510cv;2012
189;6343;Vantage Coupe 4.7 V8 425cv;2016
189;6344;Vantage Roadster 4.7 V8 420cv;2011
189;6908;Vantage S 6.0 V12 565cv;2016
189;6345;Vantage S Coupe 4.7 V8 430cv;2012
189;6346;Virage Coupe 6.0 V12 490cv;2012
6;43;100 2.8 V6;1995
6;44;100 2.8 V6 Avant;1995
6;45;100 S-4 2.2 Avant Turbo;1995
6;46;80 2.0;1995
6;47;80 2.0 Avant;1995
6;48;80 2.6/ 2.8;1995
6;49;80 2.6/2.8 Avant;1996
6;50;80 2.8 Cabriolet;1999
6;51;80 S2 Avant;1995
6;5496;A1 1.4 TFSI 122cv S-tronic 3p;2014
6;6293;A1 2.0 TFSI Quattro 256cv 3p;2013
6;6143;A1 Sport 1.4 TFSI 185cv 3p S-tronic;2014
6;7727;A1 Sport. S Edition 1.4 TFSI 5p S-tronic;2017
6;6201;A1 Sportback 1.4 TFSI 185cv 5p S-tronic;2015
6;52;A3 1.6 3p;2003
6;53;A3 1.6 3p Aut.;2003
6;54;A3 1.6 5p;2006
6;55;A3 1.6 5p Aut.;2003
6;4154;A3 1.6 8V 102cv 3p;2007
6;56;A3 1.8 3p;2004
6;57;A3 1.8 3p Aut.;2004
6;58;A3 1.8 5p Aut.;2006
6;59;A3 1.8 5p Mec.;2006
6;60;A3 1.8 Turbo 180cv 3p Aut./ Tip.;2003
6;61;A3 1.8 Turbo 180cv 3p Mec.;2004
6;62;A3 1.8 Turbo 180cv 5p Aut./ Tip.;2006
6;63;A3 1.8 Turbo 180cv 5p Mec.;2006
6;64;A3 1.8 Turbo 3p Aut.;2003
6;65;A3 1.8 Turbo 3p Mec.;2004
6;66;A3 1.8 Turbo 5p Aut.;2006
6;67;A3 1.8 Turbo 5p Mec.;2006
6;6950;A3 Cabriolet 1.8 16V TFSI 180cv S-tronic;2016
6;6689;A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic;2016
6;6768;A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic;2016
6;6461;A3 Sport 1.8 16V TFSI S-tronic 3p;2014
6;5125;A3 Sport 2.0 16V TFSI S- tronic;2013
6;4155;A3 Sportback 1.6 8V 102cv 5p;2010
6;6511;A3 Sportback 1.8 16V TFSI S-tronic 5p;2016
6;4156;A3 Sportback 2.0 16V TFSI Mec.;2011
6;4157;A3 Sportback 2.0 16V TFSI S-tronic;2013
6;68;A4 1.8  Aut.;2001
6;69;A4 1.8  Mec.;2001
6;70;A4 1.8 Avant Aut.;2001
6;71;A4 1.8 Avant Mec.;2001
6;72;A4 1.8 Avant Turbo Mec.;2001
6;73;A4 1.8 Avant Turbo Tip./ Multitronic;2016
6;74;A4 1.8 Tip./ Multitronic Turbo;2016
6;75;A4 1.8 Turbo;2001
6;4843;A4 2.0 16V TFSI 183/180cv Multitronic;2014
6;4182;A4 2.0 16V TFSI 200/ 214cv Multitronic;2011
6;6144;A4 2.0 16V TFSI Quattro Stronic;2014
6;76;A4 2.0 20V 130cv Multitronic 4p;2003
6;6145;A4 2.0 Avant 16V TFSI Quattro Stronic;2014
6;4844;A4 2.0 Avant TFSI 183/180cv Multitroni;2014
6;4183;A4 2.0 Avant TFSI 200/214cv Multitron.;2011
